chromosome,gene_id,transcript_id,gene_name,strand
chr1,ENSG00000186092.7,ENST00000641515.2,OR4F5,+
chr1,ENSG00000284733.2,ENST00000426406.4,OR4F29,-
chr1,ENSG00000284662.2,ENST00000332831.5,OR4F16,-
chr1,ENSG00000187634.13,ENST00000616016.5,SAMD11,+
chr1,ENSG00000188976.11,ENST00000327044.7,NOC2L,-
chr1,ENSG00000187961.15,ENST00000338591.8,KLHL17,+
chr1,ENSG00000187583.11,ENST00000379410.8,PLEKHN1,+
chr1,ENSG00000187642.10,ENST00000433179.4,PERM1,-
chr1,ENSG00000188290.11,ENST00000304952.11,HES4,-
chr1,ENSG00000187608.10,ENST00000649529.1,ISG15,+
chr1,ENSG00000188157.16,ENST00000379370.7,AGRN,+
chr1,ENSG00000237330.3,ENST00000453464.3,RNF223,-
chr1,ENSG00000131591.18,ENST00000421241.7,C1orf159,-
chr1,ENSG00000162571.14,ENST00000379289.6,TTLL10,+
chr1,ENSG00000186891.14,ENST00000379268.7,TNFRSF18,-
chr1,ENSG00000186827.12,ENST00000379236.4,TNFRSF4,-
chr1,ENSG00000078808.20,ENST00000360001.12,SDF4,-
chr1,ENSG00000176022.7,ENST00000379198.5,B3GALT6,+
chr1,ENSG00000184163.3,ENST00000330388.2,C1QTNF12,-
chr1,ENSG00000160087.21,ENST00000349431.11,UBE2J2,-
chr1,ENSG00000162572.21,ENST00000379116.10,SCNN1D,+
chr1,ENSG00000131584.19,ENST00000354700.10,ACAP3,-
chr1,ENSG00000169972.13,ENST00000379031.10,PUSL1,+
chr1,ENSG00000127054.22,ENST00000435064.6,INTS11,-
chr1,ENSG00000224051.7,ENST00000343938.9,CPTP,+
chr1,ENSG00000169962.5,ENST00000339381.6,TAS1R3,+
chr1,ENSG00000107404.21,ENST00000378888.10,DVL1,-
chr1,ENSG00000162576.17,ENST00000309212.11,MXRA8,-
chr1,ENSG00000175756.14,ENST00000338338.10,AURKAIP1,-
chr1,ENSG00000221978.13,ENST00000400809.8,CCNL2,-
